State,runoff_km3
Rhode Island,0.0538081504174569
New Hampshire,0.334380067511124
Vermont,0.3478457747639197
Connecticut,0.1734833494302313
Maine,1.4420522934132374
Massachusetts,0.3466660019082486
New Jersey,0.2470061230993807
Pennsylvania,1.447394069043741
New York,1.9074826069253648
Illinois,1.3910326578480572
Wisconsin,1.313692467315022
Ohio,1.1894014832173063
Michigan,1.4133618422006669
Indiana,0.979595651615468
Minnesota,1.121921010173115
Nebraska,0.2488177881644769
North Dakota,0.1392488694417729
Missouri,1.5360678737802056
Kansas,0.4014239313473641
South Dakota,0.2057818899989897
Iowa,0.9160860224550842
West Virginia,0.8529327309747151
Florida,1.0546548369270126
Maryland,0.3612602002396768
North Carolina,1.480764777541591
Delaware,0.0856132805949942
Georgia,0.9862854399169624
South Carolina,0.5609924771541054
Virginia,1.0263797286516043
Alabama,1.445747579733952
Tennessee,1.632969495329976
Kentucky,1.4418355205999849
Mississippi,1.5182019039106058
Louisiana,1.637784738753063
Texas,1.87507912319654
Oklahoma,0.8875008465864207
Arkansas,1.772956488566652
Idaho,1.4709076722867955
New Mexico,0.0819155690874795
Utah,0.1650056770775688
Colorado,0.474200963042498
Wyoming,0.6646240388305132
Nevada,0.1126358310553212
Montana,1.1387717578448802
Arizona,0.0535895285008358
California,2.2552431006305715
Oregon,2.463462611190634
Washington,3.32920502101829
